08-07-2025 07:06:24 RAM 2232/62801MB (lfb 14626x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@1728,42%@1728,0%@1728,8%@1728,0%@729,5%@729,0%@729,4%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@46.812C Tboard@36C SOC2@43.562C Tdiode@37.5C SOC0@44C CV1@-256C GPU@42.343C tj@46.718C SOC1@43.406C CV2@-256C VDD_GPU_SOC 2807mW/2807mW VDD_CPU_CV 1203mW/1203mW VIN_SYS_5V0 3539mW/3539mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-07-2025 07:06:25 RAM 2655/62801MB (lfb 14504x4MB) SWAP 0/31400MB (cached 0MB) CPU [1%@1728,14%@1728,63%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 10%@[0] CV0@-256C CPU@46.906C Tboard@36C SOC2@43.562C Tdiode@37.5C SOC0@44.062C CV1@-256C GPU@42.5C tj@46.906C SOC1@43.343C CV2@-256C VDD_GPU_SOC 2807mW/2807mW VDD_CPU_CV 1203mW/1203mW VIN_SYS_5V0 3539mW/3539mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-07-2025 07:06:26 RAM 3011/62801MB (lfb 14411x4MB) SWAP 0/31400MB (cached 0MB) CPU [12%@1728,15%@1728,56%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@46.812C Tboard@36C SOC2@43.593C Tdiode@37.5C SOC0@44.062C CV1@-256C GPU@42.531C tj@46.656C SOC1@43.312C CV2@-256C VDD_GPU_SOC 2807mW/2807mW VDD_CPU_CV 1203mW/1203mW VIN_SYS_5V0 3438mW/3505mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-07-2025 07:06:27 RAM 3016/62801MB (lfb 14407x4MB) SWAP 0/31400MB (cached 0MB) CPU [1%@1728,0%@1728,86%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@46.906C Tboard@36C SOC2@43.593C Tdiode@37.5C SOC0@44.031C CV1@-256C GPU@42.5C tj@46.906C SOC1@43.312C CV2@-256C VDD_GPU_SOC 2808mW/2807mW VDD_CPU_CV 1203mW/1203mW VIN_SYS_5V0 3336mW/3463mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-07-2025 07:06:28 RAM 3027/62801MB (lfb 14402x4MB) SWAP 0/31400MB (cached 0MB) CPU [1%@1728,0%@1728,91%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@46.843C Tboard@36C SOC2@43.593C Tdiode@37.5C SOC0@44.218C CV1@-256C GPU@-256C tj@46.843C SOC1@43.25C CV2@-256C VDD_GPU_SOC 2407mW/2727mW VDD_CPU_CV 1203mW/1203mW VIN_SYS_5V0 3235mW/3417mW NC 0mW/0mW VDDQ_VDD2_1V8AO 504mW/584mW NC 0mW/0mW
08-07-2025 07:06:29 RAM 3033/62801MB (lfb 14400x4MB) SWAP 0/31400MB (cached 0MB) CPU [1%@1728,0%@1728,91%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@46.75C Tboard@36C SOC2@43.562C Tdiode@37.5C SOC0@44.093C CV1@-256C GPU@-256C tj@46.75C SOC1@43.281C CV2@-256C VDD_GPU_SOC 2406mW/2673mW VDD_CPU_CV 1203mW/1203mW VIN_SYS_5V0 3129mW/3369mW NC 0mW/0mW VDDQ_VDD2_1V8AO 504mW/571mW NC 0mW/0mW
08-07-2025 07:06:30 RAM 3041/62801MB (lfb 14398x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@1728,0%@1728,91%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@46.687C Tboard@36C SOC2@43.562C Tdiode@37.5C SOC0@44.125C CV1@-256C GPU@-256C tj@46.906C SOC1@43.187C CV2@-256C VDD_GPU_SOC 2006mW/2578mW VDD_CPU_CV 1203mW/1203mW VIN_SYS_5V0 3129mW/3335mW NC 0mW/0mW VDDQ_VDD2_1V8AO 504mW/561mW NC 0mW/0mW
08-07-2025 07:06:31 RAM 3046/62801MB (lfb 14396x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@1728,0%@1728,93%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@46.812C Tboard@36C SOC2@43.625C Tdiode@37.5C SOC0@44.093C CV1@-256C GPU@-256C tj@46.812C SOC1@43.187C CV2@-256C VDD_GPU_SOC 2006mW/2506mW VDD_CPU_CV 1203mW/1203mW VIN_SYS_5V0 3129mW/3309mW NC 0mW/0mW VDDQ_VDD2_1V8AO 504mW/554mW NC 0mW/0mW
08-07-2025 07:06:32 RAM 3132/62801MB (lfb 14356x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@806,0%@729,53%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@46.718C Tboard@36C SOC2@43.531C Tdiode@37.75C SOC0@44.125C CV1@-256C GPU@42.531C tj@46.718C SOC1@43.281C CV2@-256C VDD_GPU_SOC 2807mW/2540mW VDD_CPU_CV 802mW/1158mW VIN_SYS_5V0 3438mW/3323mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/560mW NC 0mW/0mW
08-07-2025 07:06:33 RAM 3329/62801MB (lfb 14278x4MB) SWAP 0/31400MB (cached 0MB) CPU [11%@883,15%@806,26%@806,0%@806,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 9%@[0] CV0@-256C CPU@46.687C Tboard@36C SOC2@43.625C Tdiode@37.5C SOC0@44.093C CV1@-256C GPU@42.75C tj@46.687C SOC1@43.25C CV2@-256C VDD_GPU_SOC 2807mW/2566mW VDD_CPU_CV 802mW/1122mW VIN_SYS_5V0 3539mW/3345mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/564mW NC 0mW/0mW
08-07-2025 07:06:34 RAM 3552/62801MB (lfb 14198x4MB) SWAP 0/31400MB (cached 0MB) CPU [3%@1728,53%@1728,0%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 5%@[0] CV0@-256C CPU@46.75C Tboard@36C SOC2@43.656C Tdiode@37.75C SOC0@44.062C CV1@-256C GPU@42.625C tj@46.75C SOC1@43.218C CV2@-256C VDD_GPU_SOC 2807mW/2588mW VDD_CPU_CV 802mW/1093mW VIN_SYS_5V0 3539mW/3362mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/568mW NC 0mW/0mW
