Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
1,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1023.png,640,384,3,299.2
2,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1032.png,640,384,3,40.0
3,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/104.png,640,384,4,40.0
4,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1053.png,640,384,2,34.6
5,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1080.png,640,384,1,34.7
6,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1107.png,640,384,3,34.8
7,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/111.png,640,384,4,35.0
8,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1115.png,640,384,2,34.7
9,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1135.png,640,384,2,34.7
10,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1149.png,640,384,3,35.1
11,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1169.png,640,384,1,34.5
12,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1183.png,640,384,2,34.8
13,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1204.png,640,384,2,34.9
14,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1221.png,640,384,5,35.9
15,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1222.png,640,384,3,34.7
16,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1223.png,640,384,2,35.1
17,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1224.png,640,384,2,34.7
18,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1228.png,640,384,1,34.7
19,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1234.png,640,384,5,34.7
20,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1235.png,640,384,3,34.7
21,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1248.png,640,384,2,34.9
22,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1256.png,640,384,1,34.6
23,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1258.png,640,384,2,34.7
24,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1262.png,640,384,4,34.7
25,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1272.png,640,384,4,34.6
26,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1279.png,640,384,2,34.8
27,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1285.png,640,384,1,34.6
28,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1288.png,640,384,1,34.7
29,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1290.png,640,384,1,34.6
30,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1292.png,640,384,1,34.7
31,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/13.png,640,384,3,35.0
32,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1329.png,640,384,2,34.5
33,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1336.png,640,384,6,34.8
34,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1351.png,640,384,1,34.7
35,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1353.png,640,384,6,34.2
36,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1366.png,640,384,3,34.6
37,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1374.png,640,384,1,34.7
38,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1380.png,640,384,2,34.6
39,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1385.png,640,384,1,34.6
40,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1389.png,640,384,3,34.7
41,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/139.png,640,384,5,34.5
42,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1413.png,640,384,2,34.7
43,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1414.png,640,384,3,34.6
