
image 1/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1023.png: 640x384 3 0s, 299.2ms
image 2/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1032.png: 640x384 3 0s, 40.0ms
image 3/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/104.png: 640x384 4 0s, 40.0ms
image 4/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1053.png: 640x384 2 0s, 34.6ms
image 5/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1080.png: 640x384 1 0, 34.7ms
image 6/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1107.png: 640x384 3 0s, 34.8ms
image 7/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/111.png: 640x384 4 0s, 35.0ms
image 8/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1115.png: 640x384 2 0s, 34.7ms
image 9/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1135.png: 640x384 2 0s, 34.7ms
image 10/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1149.png: 640x384 3 0s, 35.1ms
image 11/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1169.png: 640x384 1 0, 34.5ms
image 12/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1183.png: 640x384 2 0s, 34.8ms
image 13/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1204.png: 640x384 2 0s, 34.9ms
image 14/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1221.png: 640x384 5 0s, 35.9ms
image 15/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1222.png: 640x384 3 0s, 34.7ms
image 16/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1223.png: 640x384 2 0s, 35.1ms
image 17/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1224.png: 640x384 2 0s, 34.7ms
image 18/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1228.png: 640x384 1 0, 34.7ms
image 19/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1234.png: 640x384 5 0s, 34.7ms
image 20/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1235.png: 640x384 3 0s, 34.7ms
image 21/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1248.png: 640x384 2 0s, 34.9ms
image 22/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1256.png: 640x384 1 0, 34.6ms
image 23/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1258.png: 640x384 2 0s, 34.7ms
image 24/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1262.png: 640x384 4 0s, 34.7ms
image 25/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1272.png: 640x384 4 0s, 34.6ms
image 26/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1279.png: 640x384 2 0s, 34.8ms
