Timestamp,CPU_Core0_Load,CPU_Core1_Load,CPU_Core2_Load,CPU_Core3_Load,CPU_Core4_Load,CPU_Core5_Load,CPU_Core6_Load,CPU_Core7_Load,CPU_Load_Avg,CPU_Temp_C,CV0_Temp_C,CV1_Temp_C,CV2_Temp_C,EMC_FREQ,GPU_Temp_C,GR3D_FREQ,NC_mW_Avg,NC_mW_Current,RAM_Total_MB,RAM_Used_MB,SOC0_Temp_C,SOC1_Temp_C,SOC2_Temp_C,SWAP_Total_MB,SWAP_Used_MB,Tboard_Temp_C,Tdiode_Temp_C,VDDQ_VDD2_1V8AO_mW_Avg,VDDQ_VDD2_1V8AO_mW_Current,VDD_CPU_CV_mW_Avg,VDD_CPU_CV_mW_Current,VDD_GPU_SOC_mW_Avg,VDD_GPU_SOC_mW_Current,VIN_SYS_5V0_mW_Avg,VIN_SYS_5V0_mW_Current,tj_Temp_C
08-08-2025 13:13:23,0,0,0,0,0,86,0,0,10.75,47.625,-256,-256,-256,0%,42.812,26%,0,0,62801,3744,44.625,43.75,44,31400,0,37,38,706,706,1203,1203,2807,2807,3336,3336,47.625
08-08-2025 13:13:24,0,0,0,0,0,90,0,0,11.25,47.375,-256,-256,-256,0%,43.062,0%,0,0,62801,4001,44.562,43.687,44.093,31400,0,37,38.25,655,605,1203,1203,2807,2807,3285,3235,47.375
08-08-2025 13:13:25,1,0,0,0,0,100,0,0,12.62,47.437,-256,-256,-256,0%,42.843,0%,0,0,62801,4010,44.531,43.718,44,31400,0,37,38,638,605,1203,1203,2807,2807,3268,3235,47.593
08-08-2025 13:13:26,0,0,1,0,0,100,0,0,12.62,47.5,-256,-256,-256,0%,-256,0%,0,0,62801,4019,44.687,43.687,44.031,31400,0,37,38.25,630,605,1303,1605,2706,2406,3233,3129,47.5
08-08-2025 13:13:27,0,0,1,0,0,100,0,0,12.62,47.625,-256,-256,-256,0%,-256,0%,0,0,62801,4028,44.5,43.687,43.968,31400,0,37,38,625,605,1283,1203,2646,2406,3192,3028,47.625
08-08-2025 13:13:28,1,0,1,0,0,100,0,0,12.75,47.562,-256,-256,-256,0%,-256,0%,0,0,62801,4029,44.625,43.718,44.062,31400,0,37,38,605,504,1270,1203,2539,2005,3165,3028,47.562
08-08-2025 13:13:29,0,0,0,0,0,84,0,0,10.5,47.656,-256,-256,-256,0%,42.843,15%,0,0,62801,4292,44.656,43.75,44.062,31400,0,37,38.25,619,706,1260,1203,2577,2807,3189,3336,47.656
08-08-2025 13:13:30,1,0,0,0,0,80,0,0,10.12,47.593,-256,-256,-256,0%,43,0%,0,0,62801,4651,44.718,43.75,44.062,31400,0,37,38,617,605,1253,1203,2606,2807,3207,3336,47.593
08-08-2025 13:13:31,0,0,0,0,0,59,0,0,7.38,47.468,-256,-256,-256,0%,42.937,16%,0,0,62801,4873,44.593,43.968,44.062,31400,0,37,38,616,605,1247,1203,2673,3208,3222,3336,47.593
08-08-2025 13:13:32,1,1,0,0,0,86,0,0,11.0,47.625,-256,-256,-256,0%,43.25,28%,0,0,62801,5052,44.656,43.968,44.031,31400,0,37,38.25,625,706,1243,1203,2726,3208,3263,3640,47.625
