Timestamp,CPU_Core0_Load,CPU_Core1_Load,CPU_Core2_Load,CPU_Core3_Load,CPU_Core4_Load,CPU_Core5_Load,CPU_Core6_Load,CPU_Core7_Load,CPU_Load_Avg,CPU_Temp_C,CV0_Temp_C,CV1_Temp_C,CV2_Temp_C,EMC_FREQ,GPU_Temp_C,GR3D_FREQ,NC_mW_Avg,NC_mW_Current,RAM_Total_MB,RAM_Used_MB,SOC0_Temp_C,SOC1_Temp_C,SOC2_Temp_C,SWAP_Total_MB,SWAP_Used_MB,Tboard_Temp_C,Tdiode_Temp_C,VDDQ_VDD2_1V8AO_mW_Avg,VDDQ_VDD2_1V8AO_mW_Current,VDD_CPU_CV_mW_Avg,VDD_CPU_CV_mW_Current,VDD_GPU_SOC_mW_Avg,VDD_GPU_SOC_mW_Current,VIN_SYS_5V0_mW_Avg,VIN_SYS_5V0_mW_Current,tj_Temp_C
08-08-2025 20:50:46,1,0,0,87,0,0,1,0,11.12,46.937,-256,-256,-256,0%,42.531,25%,0,0,62801,3768,44.218,43.531,43.625,31400,0,37,37.75,706,706,1203,1203,2807,2807,3336,3336,46.937
08-08-2025 20:50:47,0,0,0,90,0,0,0,0,11.25,46.968,-256,-256,-256,0%,42.718,0%,0,0,62801,4031,44.187,43.531,43.687,31400,0,37,37.75,655,605,1203,1203,2807,2807,3285,3235,47.093
08-08-2025 20:50:48,0,0,0,100,0,0,1,0,12.62,47.218,-256,-256,-256,0%,42.625,0%,0,0,62801,4040,44.312,43.406,43.75,31400,0,37,38,638,605,1203,1203,2807,2807,3267,3230,47.218
08-08-2025 20:50:49,0,0,0,100,0,0,0,3,12.88,46.968,-256,-256,-256,0%,-256,0%,0,0,62801,4049,44.25,43.468,43.75,31400,0,37,37.75,630,605,1303,1605,2706,2406,3232,3129,46.968
08-08-2025 20:50:50,0,0,0,100,0,0,0,0,12.5,46.937,-256,-256,-256,0%,-256,0%,0,0,62801,4058,44.187,43.312,43.656,31400,0,37,37.75,625,605,1363,1605,2566,2005,3191,3028,47.218
08-08-2025 20:50:51,0,0,0,100,0,0,0,0,12.5,47.062,-256,-256,-256,0%,-256,0%,0,0,62801,4059,44.218,43.375,43.687,31400,0,37,37.75,605,504,1337,1203,2472,2005,3164,3028,47.062
08-08-2025 20:50:52,0,0,0,83,0,0,1,0,10.5,47,-256,-256,-256,0%,42.625,29%,0,0,62801,4341,44.25,43.375,43.718,31400,0,37,37.75,619,706,1317,1203,2520,2807,3188,3336,47.312
08-08-2025 20:50:53,0,0,0,82,0,0,0,0,10.25,47.031,-256,-256,-256,0%,42.843,0%,0,0,62801,4684,44.187,43.593,43.687,31400,0,37,37.75,617,605,1303,1203,2556,2807,3194,3235,47.031
08-08-2025 20:50:54,1,23,1,37,0,0,0,0,7.75,47.093,-256,-256,-256,0%,42.875,56%,0,0,62801,4958,44.343,43.625,43.718,31400,0,37,37.75,627,706,1292,1203,2628,3208,3221,3438,47.093
08-08-2025 20:50:56,1,50,0,0,0,0,0,39,11.25,47.093,-256,-256,-256,0%,42.75,47%,0,0,62801,5060,44.375,43.562,43.781,31400,0,37,37.75,645,807,1283,1203,2726,3610,3273,3741,47.093
08-08-2025 20:50:57,0,91,0,0,0,0,0,0,11.38,47.437,-256,-256,-256,0%,42.937,0%,0,0,62801,5128,44.468,43.468,43.906,31400,0,37,37.75,660,808,1276,1203,2880,4412,3325,3842,47.218
