
image 1/83 /app/Datasets/Grapes/test/images/106.jpg: 576x640 1 0, 298.4ms
image 2/83 /app/Datasets/Grapes/test/images/11.jpg: 576x640 2 0s, 57.8ms
image 3/83 /app/Datasets/Grapes/test/images/113.jpg: 576x640 3 0s, 41.6ms
image 4/83 /app/Datasets/Grapes/test/images/130.jpg: 576x640 2 0s, 41.8ms
image 5/83 /app/Datasets/Grapes/test/images/149.jpg: 576x640 1 0, 41.8ms
image 6/83 /app/Datasets/Grapes/test/images/179.jpg: 576x640 2 0s, 42.0ms
image 7/83 /app/Datasets/Grapes/test/images/195.jpg: 576x640 1 0, 41.9ms
image 8/83 /app/Datasets/Grapes/test/images/211.jpg: 576x640 3 0s, 41.8ms
image 9/83 /app/Datasets/Grapes/test/images/218.jpg: 576x640 1 0, 41.6ms
image 10/83 /app/Datasets/Grapes/test/images/248.jpg: 576x640 2 0s, 41.8ms
image 11/83 /app/Datasets/Grapes/test/images/257.jpg: 576x640 3 0s, 41.8ms
image 12/83 /app/Datasets/Grapes/test/images/26.jpg: 576x640 1 0, 41.6ms
image 13/83 /app/Datasets/Grapes/test/images/268.jpg: 576x640 2 0s, 41.6ms
image 14/83 /app/Datasets/Grapes/test/images/279.jpg: 576x640 1 0, 41.6ms
image 15/83 /app/Datasets/Grapes/test/images/288.jpg: 576x640 1 0, 41.8ms
image 16/83 /app/Datasets/Grapes/test/images/302.jpg: 576x640 2 0s, 41.6ms
image 17/83 /app/Datasets/Grapes/test/images/303.jpg: 576x640 1 0, 41.8ms
image 18/83 /app/Datasets/Grapes/test/images/309.jpg: 576x640 1 0, 41.8ms
image 19/83 /app/Datasets/Grapes/test/images/319.jpg: 576x640 3 0s, 41.8ms
image 20/83 /app/Datasets/Grapes/test/images/320.jpg: 576x640 4 0s, 41.8ms
image 21/83 /app/Datasets/Grapes/test/images/35.jpg: 576x640 11 0s, 41.8ms
image 22/83 /app/Datasets/Grapes/test/images/350.jpg: 576x640 2 0s, 41.8ms
image 23/83 /app/Datasets/Grapes/test/images/36.jpg: 576x640 6 0s, 41.6ms
image 24/83 /app/Datasets/Grapes/test/images/360.jpg: 576x640 1 0, 41.6ms
image 25/83 /app/Datasets/Grapes/test/images/361.jpg: 576x640 2 0s, 41.6ms
image 26/83 /app/Datasets/Grapes/test/images/362.jpg: 576x640 1 0, 41.6ms
image 27/83 /app/Datasets/Grapes/test/images/363.jpg: 576x640 7 0s, 41.8ms
image 28/83 /app/Datasets/Grapes/test/images/364.jpg: 576x640 1 0, 41.8ms
image 29/83 /app/Datasets/Grapes/test/images/377.jpg: 576x640 2 0s, 41.6ms
image 30/83 /app/Datasets/Grapes/test/images/395.jpg: 576x640 2 0s, 41.7ms
image 31/83 /app/Datasets/Grapes/test/images/453.jpg: 576x640 2 0s, 41.7ms
image 32/83 /app/Datasets/Grapes/test/images/46.jpg: 576x640 3 0s, 41.8ms
image 33/83 /app/Datasets/Grapes/test/images/465.jpg: 576x640 2 0s, 41.6ms
image 34/83 /app/Datasets/Grapes/test/images/466.jpg: 576x640 3 0s, 41.8ms
image 35/83 /app/Datasets/Grapes/test/images/488.jpg: 576x640 1 0, 41.8ms
image 36/83 /app/Datasets/Grapes/test/images/489.jpg: 576x640 1 0, 41.7ms
image 37/83 /app/Datasets/Grapes/test/images/492.jpg: 576x640 1 0, 41.8ms
image 38/83 /app/Datasets/Grapes/test/images/509.jpg: 576x640 2 0s, 41.6ms
image 39/83 /app/Datasets/Grapes/test/images/53.jpg: 576x640 4 0s, 41.7ms
image 40/83 /app/Datasets/Grapes/test/images/539.jpg: 576x640 4 0s, 41.8ms
image 41/83 /app/Datasets/Grapes/test/images/548.jpg: 576x640 2 0s, 41.6ms
image 42/83 /app/Datasets/Grapes/test/images/558.jpg: 576x640 2 0s, 41.6ms
image 43/83 /app/Datasets/Grapes/test/images/58.jpg: 576x640 1 0, 41.8ms
image 44/83 /app/Datasets/Grapes/test/images/580.jpg: 576x640 5 0s, 41.6ms
image 45/83 /app/Datasets/Grapes/test/images/589.jpg: 576x640 5 0s, 41.5ms
image 46/83 /app/Datasets/Grapes/test/images/591.jpg: 576x640 3 0s, 41.6ms
image 47/83 /app/Datasets/Grapes/test/images/611.jpg: 576x640 3 0s, 41.6ms
image 48/83 /app/Datasets/Grapes/test/images/613.jpg: 576x640 2 0s, 41.6ms
image 49/83 /app/Datasets/Grapes/test/images/621.jpg: 576x640 4 0s, 41.8ms
image 50/83 /app/Datasets/Grapes/test/images/623.jpg: 576x640 3 0s, 41.6ms
image 51/83 /app/Datasets/Grapes/test/images/626.jpg: 576x640 1 0, 41.8ms
image 52/83 /app/Datasets/Grapes/test/images/63.jpg: 576x640 2 0s, 41.6ms
image 53/83 /app/Datasets/Grapes/test/images/662.jpg: 576x640 3 0s, 41.6ms
image 54/83 /app/Datasets/Grapes/test/images/667.jpg: 576x640 6 0s, 41.8ms
image 55/83 /app/Datasets/Grapes/test/images/682.jpg: 576x640 2 0s, 41.6ms
image 56/83 /app/Datasets/Grapes/test/images/688.jpg: 576x640 4 0s, 41.6ms
image 57/83 /app/Datasets/Grapes/test/images/694.jpg: 576x640 5 0s, 41.6ms
image 58/83 /app/Datasets/Grapes/test/images/740.jpg: 576x640 1 0, 41.6ms
image 59/83 /app/Datasets/Grapes/test/images/76.jpg: 576x640 6 0s, 41.6ms
image 60/83 /app/Datasets/Grapes/test/images/788.jpg: 576x640 5 0s, 41.6ms
image 61/83 /app/Datasets/Grapes/test/images/792.jpg: 576x640 2 0s, 41.6ms
image 62/83 /app/Datasets/Grapes/test/images/794.jpg: 576x640 1 0, 41.6ms
image 63/83 /app/Datasets/Grapes/test/images/795.jpg: 576x640 11 0s, 41.6ms
image 64/83 /app/Datasets/Grapes/test/images/81.jpg: 576x640 2 0s, 41.7ms
image 65/83 /app/Datasets/Grapes/test/images/820.jpg: 576x640 2 0s, 41.6ms
image 66/83 /app/Datasets/Grapes/test/images/823.jpg: 576x640 1 0, 41.6ms
image 67/83 /app/Datasets/Grapes/test/images/835.jpg: 576x640 3 0s, 41.8ms
image 68/83 /app/Datasets/Grapes/test/images/84.jpg: 576x640 2 0s, 41.6ms
image 69/83 /app/Datasets/Grapes/test/images/846.jpg: 576x640 1 0, 41.6ms
image 70/83 /app/Datasets/Grapes/test/images/859.jpg: 576x640 3 0s, 41.8ms
image 71/83 /app/Datasets/Grapes/test/images/865.jpg: 576x640 2 0s, 41.8ms
