Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
1,10,/app/Datasets/grapevinebunchdetection_reduced/test/images/angle-15_IMG_20220721_101402_1.jpg,640,480,1,302.9
2,10,/app/Datasets/grapevinebunchdetection_reduced/test/images/angle-15_IMG_20220721_101453.jpg,640,480,1,48.7
3,10,/app/Datasets/grapevinebunchdetection_reduced/test/images/angle-15_IMG_20220721_103447_1.jpg,640,480,1,35.8
4,10,/app/Datasets/grapevinebunchdetection_reduced/test/images/angle-15_IMG_20220721_103522.jpg,640,480,1,35.9
5,10,/app/Datasets/grapevinebunchdetection_reduced/test/images/angle-15_IMG_20220721_103529_1.jpg,640,480,1,35.9
6,10,/app/Datasets/grapevinebunchdetection_reduced/test/images/angle15_IMG_20220721_101402_1.jpg,640,480,1,35.9
7,10,/app/Datasets/grapevinebunchdetection_reduced/test/images/angle15_IMG_20220721_101453.jpg,640,480,1,36.1
8,10,/app/Datasets/grapevinebunchdetection_reduced/test/images/angle15_IMG_20220721_103447_1.jpg,640,480,1,35.9
9,10,/app/Datasets/grapevinebunchdetection_reduced/test/images/angle15_IMG_20220721_103522.jpg,640,480,1,35.9
10,10,/app/Datasets/grapevinebunchdetection_reduced/test/images/angle15_IMG_20220721_103529_1.jpg,640,480,1,35.9
