Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
1,96,/app/Datasets/Green_grapes/test/images/105.png,384,640,3,300.3
2,96,/app/Datasets/Green_grapes/test/images/116.png,384,640,4,42.6
3,96,/app/Datasets/Green_grapes/test/images/140.png,384,640,2,35.4
4,96,/app/Datasets/Green_grapes/test/images/176.png,384,640,1,34.8
5,96,/app/Datasets/Green_grapes/test/images/179.png,384,640,1,34.8
6,96,/app/Datasets/Green_grapes/test/images/189.png,384,640,3,34.8
7,96,/app/Datasets/Green_grapes/test/images/192.png,384,640,5,34.7
8,96,/app/Datasets/Green_grapes/test/images/193.png,384,640,4,34.8
9,96,/app/Datasets/Green_grapes/test/images/199.png,384,640,4,34.8
10,96,/app/Datasets/Green_grapes/test/images/24.png,384,640,7,34.8
11,96,/app/Datasets/Green_grapes/test/images/280.png,384,640,1,34.8
12,96,/app/Datasets/Green_grapes/test/images/281.png,384,640,3,34.9
13,96,/app/Datasets/Green_grapes/test/images/282.png,384,640,4,34.7
14,96,/app/Datasets/Green_grapes/test/images/300.png,384,640,2,36.0
15,96,/app/Datasets/Green_grapes/test/images/302.png,384,640,2,34.8
16,96,/app/Datasets/Green_grapes/test/images/303.png,384,640,4,34.9
17,96,/app/Datasets/Green_grapes/test/images/307.png,384,640,3,34.8
18,96,/app/Datasets/Green_grapes/test/images/31.png,384,640,6,34.8
19,96,/app/Datasets/Green_grapes/test/images/310.png,384,640,2,34.8
20,96,/app/Datasets/Green_grapes/test/images/316.png,384,640,7,34.8
21,96,/app/Datasets/Green_grapes/test/images/323.png,384,640,5,34.9
22,96,/app/Datasets/Green_grapes/test/images/325.png,384,640,3,34.9
23,96,/app/Datasets/Green_grapes/test/images/333.png,384,640,2,34.7
24,96,/app/Datasets/Green_grapes/test/images/339.png,384,640,3,34.7
25,96,/app/Datasets/Green_grapes/test/images/342.png,384,640,4,34.6
26,96,/app/Datasets/Green_grapes/test/images/345.png,384,640,3,34.9
27,96,/app/Datasets/Green_grapes/test/images/350.png,384,640,3,34.8
28,96,/app/Datasets/Green_grapes/test/images/362.png,384,640,7,34.7
29,96,/app/Datasets/Green_grapes/test/images/373.png,384,640,6,34.7
30,96,/app/Datasets/Green_grapes/test/images/379.png,384,640,4,34.9
31,96,/app/Datasets/Green_grapes/test/images/389.png,384,640,4,34.8
32,96,/app/Datasets/Green_grapes/test/images/420.png,384,640,7,34.8
33,96,/app/Datasets/Green_grapes/test/images/428.png,384,640,4,34.6
34,96,/app/Datasets/Green_grapes/test/images/430.png,384,640,5,34.8
35,96,/app/Datasets/Green_grapes/test/images/434.png,384,640,4,34.7
36,96,/app/Datasets/Green_grapes/test/images/442.png,384,640,6,34.7
37,96,/app/Datasets/Green_grapes/test/images/452.png,384,640,10,34.6
38,96,/app/Datasets/Green_grapes/test/images/457.png,384,640,4,34.7
39,96,/app/Datasets/Green_grapes/test/images/464.png,384,640,5,34.7
40,96,/app/Datasets/Green_grapes/test/images/472.png,384,640,2,34.7
41,96,/app/Datasets/Green_grapes/test/images/479.png,384,640,7,35.1
42,96,/app/Datasets/Green_grapes/test/images/486.png,384,640,4,34.7
43,96,/app/Datasets/Green_grapes/test/images/491.png,384,640,3,34.8
44,96,/app/Datasets/Green_grapes/test/images/500.png,384,640,3,34.8
45,96,/app/Datasets/Green_grapes/test/images/503.png,384,640,4,34.7
46,96,/app/Datasets/Green_grapes/test/images/508.png,384,640,3,34.7
47,96,/app/Datasets/Green_grapes/test/images/530.png,384,640,5,34.7
48,96,/app/Datasets/Green_grapes/test/images/540.png,384,640,3,34.7
49,96,/app/Datasets/Green_grapes/test/images/546.png,384,640,5,34.7
50,96,/app/Datasets/Green_grapes/test/images/547.png,384,640,6,34.8
51,96,/app/Datasets/Green_grapes/test/images/55.png,384,640,5,34.6
52,96,/app/Datasets/Green_grapes/test/images/563.png,384,640,7,34.7
53,96,/app/Datasets/Green_grapes/test/images/569.png,384,640,6,34.7
54,96,/app/Datasets/Green_grapes/test/images/573.png,384,640,4,34.9
55,96,/app/Datasets/Green_grapes/test/images/597.png,384,640,3,34.8
56,96,/app/Datasets/Green_grapes/test/images/600.png,384,640,2,34.7
57,96,/app/Datasets/Green_grapes/test/images/627.png,384,640,3,34.8
58,96,/app/Datasets/Green_grapes/test/images/629.png,384,640,3,34.7
59,96,/app/Datasets/Green_grapes/test/images/634.png,384,640,1,34.7
60,96,/app/Datasets/Green_grapes/test/images/638.png,384,640,3,34.8
61,96,/app/Datasets/Green_grapes/test/images/66.png,384,640,3,34.7
62,96,/app/Datasets/Green_grapes/test/images/674.png,384,640,1,34.6
63,96,/app/Datasets/Green_grapes/test/images/681.png,384,640,2,34.6
64,96,/app/Datasets/Green_grapes/test/images/690.png,384,640,2,34.8
65,96,/app/Datasets/Green_grapes/test/images/702.png,384,640,5,34.8
66,96,/app/Datasets/Green_grapes/test/images/708.png,384,640,4,34.8
67,96,/app/Datasets/Green_grapes/test/images/711.png,384,640,4,34.8
68,96,/app/Datasets/Green_grapes/test/images/728.png,384,640,1,34.7
69,96,/app/Datasets/Green_grapes/test/images/73.png,384,640,1,34.9
