
image 1/96 /app/Datasets/Green_grapes/test/images/105.png: 384x640 3 0s, 300.3ms
image 2/96 /app/Datasets/Green_grapes/test/images/116.png: 384x640 4 0s, 42.6ms
image 3/96 /app/Datasets/Green_grapes/test/images/140.png: 384x640 2 0s, 35.4ms
image 4/96 /app/Datasets/Green_grapes/test/images/176.png: 384x640 1 0, 34.8ms
image 5/96 /app/Datasets/Green_grapes/test/images/179.png: 384x640 1 0, 34.8ms
image 6/96 /app/Datasets/Green_grapes/test/images/189.png: 384x640 3 0s, 34.8ms
image 7/96 /app/Datasets/Green_grapes/test/images/192.png: 384x640 5 0s, 34.7ms
image 8/96 /app/Datasets/Green_grapes/test/images/193.png: 384x640 4 0s, 34.8ms
image 9/96 /app/Datasets/Green_grapes/test/images/199.png: 384x640 4 0s, 34.8ms
image 10/96 /app/Datasets/Green_grapes/test/images/24.png: 384x640 7 0s, 34.8ms
image 11/96 /app/Datasets/Green_grapes/test/images/280.png: 384x640 1 0, 34.8ms
image 12/96 /app/Datasets/Green_grapes/test/images/281.png: 384x640 3 0s, 34.9ms
image 13/96 /app/Datasets/Green_grapes/test/images/282.png: 384x640 4 0s, 34.7ms
image 14/96 /app/Datasets/Green_grapes/test/images/300.png: 384x640 2 0s, 36.0ms
image 15/96 /app/Datasets/Green_grapes/test/images/302.png: 384x640 2 0s, 34.8ms
image 16/96 /app/Datasets/Green_grapes/test/images/303.png: 384x640 4 0s, 34.9ms
image 17/96 /app/Datasets/Green_grapes/test/images/307.png: 384x640 3 0s, 34.8ms
image 18/96 /app/Datasets/Green_grapes/test/images/31.png: 384x640 6 0s, 34.8ms
image 19/96 /app/Datasets/Green_grapes/test/images/310.png: 384x640 2 0s, 34.8ms
image 20/96 /app/Datasets/Green_grapes/test/images/316.png: 384x640 7 0s, 34.8ms
image 21/96 /app/Datasets/Green_grapes/test/images/323.png: 384x640 5 0s, 34.9ms
image 22/96 /app/Datasets/Green_grapes/test/images/325.png: 384x640 3 0s, 34.9ms
image 23/96 /app/Datasets/Green_grapes/test/images/333.png: 384x640 2 0s, 34.7ms
image 24/96 /app/Datasets/Green_grapes/test/images/339.png: 384x640 3 0s, 34.7ms
image 25/96 /app/Datasets/Green_grapes/test/images/342.png: 384x640 4 0s, 34.6ms
image 26/96 /app/Datasets/Green_grapes/test/images/345.png: 384x640 3 0s, 34.9ms
image 27/96 /app/Datasets/Green_grapes/test/images/350.png: 384x640 3 0s, 34.8ms
image 28/96 /app/Datasets/Green_grapes/test/images/362.png: 384x640 7 0s, 34.7ms
image 29/96 /app/Datasets/Green_grapes/test/images/373.png: 384x640 6 0s, 34.7ms
image 30/96 /app/Datasets/Green_grapes/test/images/379.png: 384x640 4 0s, 34.9ms
